Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"10/11/2015","No. 8 Cordarragh, Kiltimagh","","Mayo","€51,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"10/11/2015","No. 9 Orchard Court, Elm Park  Knock Road, Claremorris","","Mayo","€34,600.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"10/11/2015","UPPER MAIN ST, BALLYHAUNIS, MAIN ST","","Mayo","€50,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/11/2015","13 MEADOW PARK, RATHSCANLON, SWINFORD","","Mayo","€130,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/11/2015","20 ROSMOR, PONTOON RD, MAYO","","Mayo","€132,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/11/2015","23 ARD NA REE, BALLINA, CO MAYO","","Mayo","€20,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/11/2015","CLOONGOONAGH, TOOREEN BALLYHAUNIS, MAYO","","Mayo","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/11/2015","CLOONGOWLA, BALLINROBE, CO MAYO","","Mayo","€88,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/11/2015","INISHCUTTLE, KILMEENA, WESTPORT","","Mayo","€41,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/11/2015","1 DELIA MURPHYS, ROUNDFORT, HOLLYMOUNT","","Mayo","€100,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/11/2015","1 THE COMMON, CORNMARKET, BALLINROBE","","Mayo","€60,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/11/2015","12 DERRYRONANE, SWINFORD, MAYO","","Mayo","€95,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/11/2015","2 THE COMMON, CORNMARKET, BALLINROBE","","Mayo","€60,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/11/2015","28 CHAPEL COURT, CHAPEL LANE, CLAREMORRIS","","Mayo","€50,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/11/2015","3 THE COMMON, CORNMARKET, BALLINROBE","","Mayo","€60,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/11/2015","34 HILLCREST, MAYFIELD, CLAREMORRIS","","Mayo","€167,500.00","No","No","Second-Hand Dwelling house /Apartment",""
